Country code,Coun,Zone,Ranking 2015,Ranking 2014,Ranking 2013,Ranking 2012,Ranking 2011,Ranking 2010,Ranking 2009,Ranking 2008,Ranking 2007,Ranking 2006,Ranking 2005,Ranking 2004,Ranking 2003,Ranking 2002,Score 2015,Score 2015 W/o exactions,Score 2014,Score 2013,Pluralism 2015,Media independence 2015,Environment and self-censorship 2015,Legal framework 2015,Institutional transparency 2015,Infrastructures 2015,Exactions 2015,URL country page FR,URL country page EN,URL country page ES,Journalists killed 2014,Net-citizens killed 2014,Narrative FR,Narrative EN,Narrative ES
FIN,Finland,European Union & the Balkans,1,1,1,1,,1,1,4,5,1,1,1,1,1,6.4,7.52,6.4,6.38,,,,,,,,http://fr.rsf.org/finlande.html,http://en.rsf.org/finland.html,http://en.rsf.org/finland.html,0,0,,,
FRA,France,European Union & the Balkans,39,39,37,37,,44,43,35,31,35,30,19,26,11,21.89,20.23,21.89,21.6,,,,,,,24.85,http://fr.rsf.org/france.html,http://en.rsf.org/france.html,http://es.rsf.org/francia.html,0,0,"En France, le Front national (FN) s’est démarqué dans l’espace politique par son refus constant de laisser certains journalistes accéder à ses événements. Sur le terrain, les journalistes sont régulièrement pris pour cible, notamment pendant les manifestations. Des opposants au mariage homosexuel ont à plusieurs reprises agressé physiquement des journalistes. Des attaques ont aussi été recensées pendant les manifestations pro-Gaza et pro-israéliennes et en marge des manifestations contre le barrage de Sivens dans le Tarn. Sur un autre terrain, les journaux vivent des moments difficiles dus à une situation économique de plus en plus difficile pour eux. Cette fragilité induit une dangereuse dépendance aux subventions et à la publicité publiques. Les coupures de budget sont même devenues un moyen de pression contre certains médias. Les assassinats des journalistes de Charlie Hebdo ont été perpétrés après la période prise en compte pour la compilation du Classement mondial 2015.",,
GAB,Gabon,Africa,98,98,89,89,,107,129,110,102,114,102,115,101,58,31.32,31.38,31.32,28.69,,,,,,,26.39,http://fr.rsf.org/gabon.html,http://en.rsf.org/gabon.html,http://es.rsf.org/gabon.html,0,0,,,
GMB,Gambia,Africa,155,155,152,152,,125,137,137,130,149,130,98,77,64,46.42,44.21,46.42,45.09,,,,,,,45.64,http://fr.rsf.org/gambie.html,http://en.rsf.org/gambia.html,http://es.rsf.org/gambia.html,0,0,,,
GEO,Georgia,Eastern Europe & Central Asia,84,84,100,100,,99,81,120,66,89,99,94,73,,29.78,27.7,29.78,30.09,,,,,,,23.98,http://fr.rsf.org/georgie.html,http://en.rsf.org/georgia.html,http://en.rsf.org/georgia.html,0,0,,,
GHA,Ghana,Africa,27,27,30,30,,26,27,31,29,34,66,57,48,67,16.29,14.89,16.29,17.27,,,,,,,17.92,http://fr.rsf.org/ghana.html,http://en.rsf.org/ghana.html,http://es.rsf.org/ghana.html,0,0,,,
GRC,Greece,European Union & the Balkans,99,99,84,84,,70,35,31,30,32,18,33,31,19,31.33,31.01,31.33,28.46,,,,,,,13.86,http://fr.rsf.org/grece.html,http://en.rsf.org/greece.html,http://es.rsf.org/grecia.html,0,0,,,
GTM,Guatemala,Americas,125,125,95,95,,77,106,101,104,90,86,66,99,83,36.61,35.29,36.61,29.39,,,,,,,48.44,http://fr.rsf.org/guatemala.html,http://en.rsf.org/guatemala.html,http://es.rsf.org/guatemala.html,0,0,,,
GIN,Guinea,Africa,102,102,86,86,,113,100,99,107,109,102,88,109,79,31.67,26.65,31.67,28.49,,,,,,,56.2,http://fr.rsf.org/guinee.html,http://en.rsf.org/guinea.html,http://es.rsf.org/guinea.html,1,0,,,
GNQ,Equatorial Guinea,Africa,168,168,166,166,,,,,,,,,,,67.95,66.23,67.95,67.2,,,,,,,13.86,http://fr.rsf.org/guinee-equatoriale.html,http://en.rsf.org/equatorial-guinea.html,http://es.rsf.org/guinea-ecuatorial.html,0,0,,,
GNB,Guinea-Bissau,Africa,86,86,92,92,,,,,,,,,,,30.05,28.7,30.05,28.94,,,,,,,,http://fr.rsf.org/guinee-bissau.html,http://en.rsf.org/guinea-bissau.html,http://es.rsf.org/guinea-bissau.html,0,0,,,
GUY,Guyana,Americas,67,67,69,69,,59,39,88,,,,,,,27.08,27.21,27.08,27.08,,,,,,,,http://fr.rsf.org/guyana.html,http://en.rsf.org/guyana.html,http://es.rsf.org/guyana.html,0,0,,,
HTI,Haiti,Americas,47,47,49,49,,56,57,73,75,87,117,125,100,106,23.53,23.74,23.53,24.09,,,,,,,30.45,http://fr.rsf.org/haiti.html,http://en.rsf.org/haiti.html,http://es.rsf.org/haiti.html,0,0,,,
HND,Honduras,Americas,129,129,127,127,,143,128,99,87,62,76,53,65,,37.14,33.93,37.14,36.92,,,,,,,60.64,http://fr.rsf.org/honduras.html,http://en.rsf.org/honduras.html,http://es.rsf.org/honduras.html,1,0,,,
HKG,Hong Kong,Asia-Pacific,61,61,58,58,,34,48,51,61,58,39,34,56,18,26.55,27.76,26.55,26.16,,,,,,,21.97,http://fr.rsf.org/hongkong.html,http://en.rsf.org/hongkong.html,http://en.rsf.org/hongkong.html,0,0,,,
HUN,Hungary,European Union & the Balkans,64,64,56,56,,23,25,23,17,10,12,28,21,24,26.73,27.44,26.73,26.09,,,,,,,13.86,http://fr.rsf.org/hongrie.html,http://en.rsf.org/hungary.html,http://en.rsf.org/hungary.html,0,0,,,
IND,India,Asia-Pacific,140,140,140,140,,122,105,118,120,105,106,120,128,80,40.34,35.72,40.34,41.22,,,,,,,59.58,http://fr.rsf.org/inde.html,http://en.rsf.org/india.html,http://en.rsf.org/india.html,1,0,,,
IDN,Indonesia,Asia-Pacific,132,132,139,139,,117,100,111,100,103,102,117,110,57,38.15,40.75,38.15,41.05,,,,,,,27.08,http://fr.rsf.org/indonesie.html,http://en.rsf.org/indonesia.html,http://en.rsf.org/indonesia.html,0,0,,,
IRQ,Iraq,Middle East & North Africa,153,153,150,150,,130,145,158,157,154,157,148,124,130,45.44,41.59,45.44,44.67,,,,,,,72.44,http://fr.rsf.org/irak.html,http://en.rsf.org/iraq.html,http://es.rsf.org/irak.html,4,0,,,
IRN,Islamic Republic of Iran,Middle East & North Africa,173,173,174,174,,175,172,166,166,162,164,158,160,122,72.29,70.82,72.29,73.4,,,,,,,78.3,http://fr.rsf.org/iran.html,http://en.rsf.org/iran.html,http://es.rsf.org/iran.html,0,0,,,
IRL,Ireland,European Union & the Balkans,16,16,15,15,,9,1,4,8,1,1,1,16,6,10.87,11.2,10.87,10.06,,,,,,,,http://fr.rsf.org/irlande-du-nord.html,http://en.rsf.org/ireland.html,http://en.rsf.org/ireland.html,0,0,,,
ISL,Iceland,European Union & the Balkans,8,8,9,9,,1,9,1,1,1,1,1,1,1,8.5,13.87,8.5,8.49,,,,,,,,http://fr.rsf.org/islande.html,http://en.rsf.org/iceland.html,http://en.rsf.org/iceland.html,0,0,,,
ISR,Israel,Middle East & North Africa,96,96,112,112,,86,93,46,44,50,47,36,44,92,31.19,26.47,31.19,32.97,,,,,,,54.55,http://fr.rsf.org/israel.html,http://en.rsf.org/israel.html,http://es.rsf.org/israel.html,0,0,,,
ITA,Italy,European Union & the Balkans,49,49,57,57,,49,49,44,35,40,42,39,53,40,23.75,24.09,23.75,26.11,,,,,,,43.31,http://fr.rsf.org/italie.html,http://en.rsf.org/italy.html,http://en.rsf.org/italy.html,0,0,,,
JAM,Jamaica,Americas,17,17,13,13,,25,23,21,27,23,34,24,21,,10.9,11.18,10.9,9.88,,,,,,,6.93,http://fr.rsf.org/jamaique.html,http://en.rsf.org/jamaica.html,http://en.rsf.org/jamaica.html,0,0,,,
JPN,Japan,Asia-Pacific,59,59,53,53,,11,17,29,37,51,37,42,44,26,26.02,26.95,26.02,25.17,,,,,,,,http://fr.rsf.org/japon.html,http://en.rsf.org/japan.html,http://en.rsf.org/japan.html,0,0,,,
